id	hospitals
10001	2
10003	10
10005	3
11001	16
12001	6
12003	2
12005	6
12007	1
12009	12
12011	28
12013	1
12015	4
12017	2
12019	3
12021	5
12023	3
12027	1
12031	14
12033	9
12035	1
12037	1
12039	2
12045	1
12049	1
12051	1
12053	5
12055	3
12057	22
12059	1
12061	4
12063	2
12069	6
12071	7
12073	5
12075	1
12079	1
12081	5
12083	7
12085	4
12086	38
12087	4
12089	1
12091	6
12093	1
12095	17
12097	5
12099	20
12101	10
12103	18
12105	6
12107	1
12109	1
12111	6
12113	5
12115	7
12117	4
12119	2
12121	1
12123	2
12125	3
12127	9
12131	2
12133	1
13001	1
13005	1
13009	2
13013	1
13015	1
13017	1
13019	1
13021	8
13023	1
13027	1
13031	2
13033	1
13035	1
13037	1
13039	1
13043	1
13045	3
13047	1
13049	1
13051	9
13053	1
13055	1
13057	1
13059	3
13063	4
13065	1
13067	6
13069	1
13071	2
13075	1
13077	3
13081	1
13083	1
13087	1
13089	15
13091	1
13093	1
13095	2
13097	2
13099	1
13103	2
13105	1
13107	1
13109	1
13111	1
13113	1
13115	5
13117	1
13119	3
13121	19
13123	1
13127	2
13129	1
13131	1
13133	2
13135	6
13137	1
13139	2
13143	1
13147	1
13151	2
13153	3
13155	1
13157	1
13159	1
13161	1
13163	1
13165	1
13173	1
13175	2
13179	2
13185	4
13187	1
13189	2
13193	1
13199	3
13201	1
13205	1
13207	1
13211	1
13213	1
13215	7
13217	1
13223	2
13225	3
13227	1
13233	2
13235	1
13237	1
13241	1
13243	1
13245	12
13247	1
13251	1
13253	1
13255	1
13257	1
13259	1
13261	2
13267	1
13269	1
13275	2
13277	1
13279	1
13281	1
13285	1
13291	1
13293	1
13297	2
13299	2
13303	1
13305	1
13309	1
13313	1
13317	1
13321	1
15001	6
15003	17
15007	2
15009	4
16001	11
16005	2
16007	1
16009	1
16011	3
16013	1
16017	1
16019	2
16021	1
16023	1
16027	2
16029	1
16031	1
16035	2
16039	1
16041	1
16045	1
16047	1
16049	2
16053	1
16055	4
16057	1
16059	1
16065	1
16067	1
16069	1
16071	1
16077	1
16079	1
16081	1
16083	2
16085	2
16087	1
17001	2
17005	1
17007	1
17011	2
17019	3
17021	2
17025	1
17027	1
17029	1
17031	73
17033	1
17037	3
17039	1
17043	8
