id	hospitals	name
10001	2	Kent
10003	10	New Castle
10005	3	Sussex
11001	16	District of Columbia
12001	6	Alachua
12003	2	Baker
12005	6	Bay
12007	1	Bradford
12009	12	Brevard
12011	28	Broward
12013	1	Calhoun
12015	4	Charlotte
12017	2	Citrus
12019	3	Clay
12021	5	Collier
12023	3	Columbia
12027	1	DeSoto
12029	0	Dixie
12031	14	Duval
12033	9	Escambia
12035	1	Flagler
12037	1	Franklin
12039	2	Gadsden
12041	0	Gilchrist
12043	0	Glades
12045	1	Gulf
12047	0	Hamilton
12049	1	Hardee
12051	1	Hendry
12053	5	Hernando
12055	3	Highlands
12057	22	Hillsborough
12059	1	Holmes
12061	4	Indian River
12063	2	Jackson
12065	0	Jefferson
12067	0	Lafayette
12069	6	Lake
12071	7	Lee
12073	5	Leon
12075	1	Levy
12077	0	Liberty
12079	1	Madison
12081	5	Manatee
12083	7	Marion
12085	4	Martin
12086	38	Miami-Dade
12087	4	Monroe
12089	1	Nassau
12091	6	Okaloosa
12093	1	Okeechobee
12095	17	Orange
12097	5	Osceola
12099	20	Palm Beach
12101	10	Pasco
12103	18	Pinellas
12105	6	Polk
12107	1	Putnam
12109	1	St. Johns
12111	6	St. Lucie
12113	5	Santa Rosa
12115	7	Sarasota
12117	4	Seminole
12119	2	Sumter
12121	1	Suwannee
12123	2	Taylor
12125	3	Union
12127	9	Volusia
12129	0	Wakulla
12131	2	Walton
12133	1	Washington
13001	1	Appling
13003	0	Atkinson
13005	1	Bacon
13007	0	Baker
13009	2	Baldwin
13011	0	Banks
13013	1	Barrow
13015	1	Bartow
13017	1	Ben Hill
13019	1	Berrien
13021	8	Bibb
13023	1	Bleckley
13025	0	Brantley
13027	1	Brooks
13029	0	Bryan
13031	2	Bulloch
13033	1	Burke
13035	1	Butts
13037	1	Calhoun
13039	1	Camden
13043	1	Candler
13045	3	Carroll
13047	1	Catoosa
13049	1	Charlton
13051	9	Chatham
13053	1	Chattahoochee
13055	1	Chattooga
13057	1	Cherokee
13059	3	Clarke
13061	0	Clay
13063	4	Clayton
13065	1	Clinch
13067	6	Cobb
13069	1	Coffee
13071	2	Colquitt
13073	0	Columbia
13075	1	Cook
13077	3	Coweta
13079	0	Crawford
13081	1	Crisp
13083	1	Dade
13085	0	Dawson
13087	1	Decatur
13089	15	DeKalb
13091	1	Dodge
13093	1	Dooly
13095	2	Dougherty
13097	2	Douglas
13099	1	Early
13101	0	Echols
13103	2	Effingham
13105	1	Elbert
13107	1	Emanuel
13109	1	Evans
13111	1	Fannin
13113	1	Fayette
13115	5	Floyd
13117	1	Forsyth
13119	3	Franklin
13121	19	Fulton
13123	1	Gilmer
13125	0	Glascock
13127	2	Glynn
13129	1	Gordon
13131	1	Grady
13133	2	Greene
13135	6	Gwinnett
13137	1	Habersham
13139	2	Hall
13141	0	Hancock
13143	1	Haralson
13145	0	Harris
13147	1	Hart
13149	0	Heard
13151	2	Henry
13153	3	Houston
13155	1	Irwin
13157	1	Jackson
13159	1	Jasper
13161	1	Jeff Davis
13163	1	Jefferson
13165	1	Jenkins
13167	0	Johnson
13169	0	Jones
13171	0	Lamar
13173	1	Lanier
13175	2	Laurens
13177	0	Lee
13179	2	Liberty
13181	0	Lincoln
13183	0	Long
13185	4	Lowndes
13187	1	Lumpkin
13189	2	McDuffie
13191	0	McIntosh
13193	1	Macon
13195	0	Madison
13197	0	Marion
13199	3	Meriwether
13201	1	Miller
13205	1	Mitchell
13207	1	Monroe
13209	0	Montgomery
13211	1	Morgan
13213	1	Murray
13215	7	Muscogee
13217	1	Newton
13219	0	Oconee
13221	0	Oglethorpe
13223	2	Paulding
13225	3	Peach
13227	1	Pickens
13229	0	Pierce
13231	0	Pike
13233	2	Polk
13235	1	Pulaski
13237	1	Putnam
13239	0	Quitman
13241	1	Rabun
13243	1	Randolph
13245	12	Richmond
13247	1	Rockdale
13249	0	Schley
13251	1	Screven
13253	1	Seminole
13255	1	Spalding
13257	1	Stephens
13259	1	Stewart
13261	2	Sumter
13263	0	Talbot
13265	0	Taliaferro
13267	1	Tattnall
13269	1	Taylor
13271	0	Telfair
13273	0	Terrell
13275	2	Thomas
13277	1	Tift
13279	1	Toombs
13281	1	Towns
13283	0	Treutlen
13285	1	Troup
13287	0	Turner
13289	0	Twiggs
13291	1	Union
13293	1	Upson
13295	0	Walker
13297	2	Walton
13299	2	Ware
13301	0	Warren
