id	ratio
10001	88412
10003	55979
10005	75107
11001	43373
12001	44491
12003	14142
12005	30594
12007	27038
12009	49097
12011	69
12013	14483
12015	45508
12017	72824
12019	70743
12021	74576
12023	23204
12027	36862
12029	Infinity
12031	66995
12033	34835
12035	110510
12037	11727
12039	23036
12041	Infinity
12043	Infinity
12045	16160
12047	Infinity
12049	27411
12051	40347
12053	37311
12055	34294
12057	64
12059	19558
12061	38596
12063	24165
12065	Infinity
12067	Infinity
12069	57670
12071	105603
12073	58058
12075	40355
12077	Infinity
12079	18449
12081	77114
12083	50622
12085	39981
12086	72
12087	19253
12089	82721
12091	33828
12093	41605
12095	79
12097	70436
12099	74
12101	52564
12103	53924
12105	114414
12107	73464
12109	243812
12111	52251
12113	34854
12115	59874
12117	115665
12119	62583
12121	44190
12123	10917
12125	5172
12127	59855
12129	Infinity
12131	34188
12133	24567
13001	18521
13003	Infinity
13005	11319
13007	Infinity
13009	22453
13011	Infinity
13013	79061
13015	105054
13017	16996
13019	19186
13021	19108
13023	12830
13025	Infinity
13027	15587
13029	Infinity
13031	38075
13033	22522
13035	24059
13037	6455
13039	53044
13043	10797
13045	39271
13047	66550
13049	12715
13051	32278
13053	10343
13055	24770
13057	247573
13059	42355
13061	Infinity
13063	71288
13065	6727
13067	125959
13069	43014
13071	22918
13073	Infinity
13075	17277
13077	47705
13079	Infinity
13081	22736
13083	16285
13085	Infinity
13087	26716
13089	50217
13091	20730
13093	13737
13095	44751
13097	71941
13099	10296
13101	Infinity
13103	29991
13105	19109
13107	22530
13109	10775
13111	25322
13113	112549
13115	19523
13117	227967
13119	7607
13121	55
13123	30674
13125	Infinity
13127	42641
13129	57089
13131	24819
13133	8641
13135	153377
13137	44567
13139	99668
13141	Infinity
13143	29256
13145	Infinity
13147	25794
13149	Infinity
13151	112907
13153	51160
13155	9410
13157	67519
13159	13964
13161	15025
13163	15648
13165	8767
13167	Infinity
13169	Infinity
13171	Infinity
13173	10425
13175	23665
13177	Infinity
13179	30693
13181	Infinity
13183	Infinity
13185	28872
13187	32873
13189	10749
13191	Infinity
13193	13314
13195	Infinity
13197	Infinity
13199	7016
13201	5838
13205	22292
13207	27113
13209	Infinity
13211	18412
13213	39782
13215	27723
13217	108078
13219	Infinity
13221	Infinity
13223	79723
13225	9033
13227	31588
13229	Infinity
13231	Infinity
13233	21043
13235	11201
13237	21730
13239	Infinity
13241	16602
13243	7075
13245	16817
13247	90312
13249	Infinity
13251	13953
13253	8292
13255	65380
13257	25890
13259	5985
13261	14924
13263	Infinity
13265	Infinity
13267	25334
13269	8142
13271	Infinity
13273	Infinity
13275	22390
13277	40598
13279	26999
13281	11506
13283	Infinity
13285	69786
13287	Infinity
13289	Infinity
13291	23459
13293	26135
13295	Infinity
13297	45800
13299	17936
13301	Infinity
13303	20313
13305	29817
13307	Infinity
13309	7952
13311	Infinity
13313	104658
13315	Infinity
13317	9892
13319	Infinity
13321	20533
15001	33397
15003	58156
15005	Infinity
15007	36080
15009	41565
16001	41532
16003	Infinity
16005	42635
16007	6028
16009	9184
16011	15309
16013	22024
16015	Infinity
16017	43560
16019	57298
16021	11922
16023	2602
16025	Infinity
