id	ratio
10001	614
10003	270
10005	473
11001	151
12001	159
12003	40
12005	272
12007	1082
12009	328
12011	0
12013	579
12015	221
12017	447
12019	567
12021	375
12023	163
12027	752
12029	Infinity
12031	244
12033	220
12035	1116
12037	469
12039	47
12041	Infinity
12043	Infinity
12045	851
12047	Infinity
12049	1096
12051	1614
12053	309
12055	303
12057	0
12059	978
12061	328
12063	556
12065	Infinity
12067	Infinity
12069	417
12071	358
12073	367
12075	2018
12077	Infinity
12079	738
12081	470
12083	414
12085	342
12086	0
12087	407
12089	1532
12091	434
12093	416
12095	0
12097	892
12099	0
12101	426
12103	240
12105	380
12107	742
12109	726
12111	349
12113	653
12115	316
12117	562
12119	476
12121	2946
12123	227
12125	72
12127	344
12129	Infinity
12131	633
12133	416
13001	378
13003	Infinity
13005	241
13007	Infinity
13009	132
13011	Infinity
13013	1412
13015	1313
13017	227
13019	305
13021	118
13023	513
13025	Infinity
13027	623
13029	Infinity
13031	401
13033	563
13035	962
13037	258
13039	1326
13043	432
13045	342
13047	360
13049	Infinity
13051	169
13053	181
13055	799
13057	3134
13059	221
13061	Infinity
13063	511
13065	269
13067	593
13069	489
13071	290
13073	Infinity
13075	288
13077	678
13079	Infinity
13081	311
13083	1253
13085	Infinity
13087	334
13089	289
13091	221
13093	292
13095	95
13097	749
13099	412
13101	Infinity
13103	2399
13105	367
13107	313
13109	220
13111	506
13113	717
13115	107
13117	1219
13119	84
13121	0
13123	613
13125	Infinity
13127	213
13129	714
13131	414
13133	234
13135	1086
13137	841
13139	358
13141	Infinity
13143	1170
13145	Infinity
13147	315
13149	Infinity
13151	852
13153	556
13155	277
13157	263
13159	821
13161	601
13163	423
13165	351
13167	Infinity
13169	Infinity
13171	Infinity
13173	261
13175	129
13177	Infinity
13179	2455
13181	Infinity
13183	Infinity
13185	243
13187	671
13189	299
13191	Infinity
13193	272
13195	Infinity
13197	Infinity
13199	112
13201	234
13205	969
13207	1085
13209	Infinity
13211	449
13213	947
13215	155
13217	1114
13219	Infinity
13221	Infinity
13223	533
13225	542
13227	658
13229	Infinity
13231	Infinity
13233	593
13235	229
13237	869
13239	Infinity
13241	664
13243	283
13245	64
13247	619
13249	Infinity
13251	558
13253	128
13255	409
13257	270
13259	239
13261	136
13263	Infinity
13265	Infinity
13267	1013
13269	Infinity
13271	Infinity
13273	Infinity
13275	67
13277	213
13279	474
13281	460
13283	Infinity
13285	253
13287	Infinity
13289	Infinity
13291	521
13293	227
13295	Infinity
13297	477
13299	126
13301	Infinity
13303	175
13305	339
13307	Infinity
13309	318
13311	Infinity
13313	371
13315	Infinity
13317	396
13319	Infinity
13321	821
15001	398
15003	402
15005	Infinity
15007	662
15009	644
16001	337
16003	Infinity
16005	454
16007	287
16009	483
16011	418
16013	Infinity
16015	Infinity
16017	1742
16019	345
16021	596
16023	61
16025	Infinity
16027	918
16029	281
16031	947
16033	Infinity
16035	103
16037	Infinity
16039	1073
16041	209
16043	Infinity
16045	1086
16047	1008
16049	409
16051	Infinity
16053	945
16055	450
16057	1573
16059	438
16061	Infinity
16063	Infinity
16065	567
16067	236
16069	297
16071	Infinity
16073	Infinity
16075	Infinity
16077	211
16079	502
16081	875
16083	377
16085	427
16087	533
17001	198
17003	Infinity
17005	113
17007	Infinity
17009	Infinity
17011	1330
17013	Infinity
17015	Infinity
17017	Infinity
17019	381
17021	494
17023	Infinity
17025	737
17027	Infinity
17029	441
17031	0
17033	301
17035	Infinity
17037	548
17039	638
17041	Infinity
17043	495
17045	693
17047	Infinity
17049	234
17051	198
17053	198
17055	1562
17057	378
17059	Infinity
17061	46
17063	568
17065	328
17067	1001
17069	162
17071	Infinity
17073	574
17075	332
17077	317
17079	Infinity
17081	204
17083	448
17085	864
17087	Infinity
17089	486
17091	234
17093	Infinity
17095	242
17097	727
17099	409
17101	647
17103	430
17105	869
17107	1170
17109	324
17111	901
17113	861
17115	563
17117	909
17119	274
17121	281
17123	Infinity
17125	686
17127	574
17129	Infinity
17131	710
17133	Infinity
17135	576
17137	313
17139	Infinity
17141	3191
17143	163
17145	426
17147	1028
17149	753
17151	Infinity
17153	Infinity
17155	Infinity
17157	197
17159	177
17161	326
17163	363
17165	246
17167	188
17169	153
17171	Infinity
17173	724
17175	Infinity
17177	451
17179	890
17181	362
17183	174
17185	460
17187	746
17189	Infinity
17191	300
17193	Infinity
17195	416
17197	755
17199	156
17201	314
17203	2151
18001	152
18003	241
18005	414
18007	Infinity
18009	798
18011	1267
18013	Infinity
18015	Infinity
18017	458
18019	323
18021	1048
18023	1293
18025	Infinity
18027	414
18029	541
18031	1069
18033	639
18035	256
18037	320
18039	503
18041	318
18043	192
18045	Infinity
18047	Infinity
18049	802
18051	480
18053	578
18055	1287
18057	550
18059	815
18061	1596
18063	644
18065	539
18067	246
18069	1009
18071	472
18073	727
18075	598
18077	107
18079	1105
18081	314
18083	196
18085	900
18087	1572
18089	214
18091	293
18093	913
18095	235
18097	213
18099	284
18101	Infinity
18103	1434
18105	375
18107	507
18109	335
18111	Infinity
18113	1531
18115	Infinity
18117	809
18119	Infinity
18121	Infinity
18123	763
18125	Infinity
18127	577
18129	Infinity
18131	501
18133	1508
18135	1558
18137	1138
18139	666
18141	338
18143	955
18145	617
18147	Infinity
18149	432
18151	1379
18153	830
18155	Infinity
18157	309
18159	605
18161	Infinity
18163	141
18165	620
18167	189
18169	629
18171	513
18173	398
18175	1113
18177	150
18179	354
18181	967
18183	348
19001	282
19003	168
19005	555
19007	274
19009	223
19011	1026
19013	197
19015	631
19017	498
19019	177
19021	575
19023	Infinity
19025	390
19027	100
19029	398
19031	Infinity
19033	73
19035	136
19037	667
19039	375
19041	163
19043	353
19045	177
19047	341
19049	727
19051	359
19053	318
19055	686
19057	185
19059	351
19061	206
19063	377
19065	396
19067	630
19069	407
19071	278
19073	359
19075	154
19077	410
19079	605
19081	431
19083	294
19085	565
19087	131
19089	369
19091	195
19093	275
19095	644
19097	775
19099	544
19101	737
19103	108
19105	342
19107	406
19109	600
19111	283
19113	220
19115	Infinity
19117	341
19119	472
19121	641
19123	674
19125	293
19127	322
19129	18
19131	425
19133	350
19135	314
19137	405
19139	893
19141	363
19143	242
19145	138
19147	193
19149	1009
19151	342
19153	272
19155	182
19157	374
19159	157
19161	393
19163	405
19165	465
19167	119
19169	228
19171	Infinity
19173	Infinity
19175	498
19177	286
19179	302
19181	Infinity
19183	891
19185	231
19187	183
19189	Infinity
19191	808
19193	123
19195	Infinity
19197	272
20001	501
20003	191
20005	653
20007	49
20009	327
20011	242
20013	193
20015	531
20017	Infinity
20019	135
20021	330
20023	168
20025	20
